,Business day,Connection point EAN,Connection point Name,Market Party Name,PTE (15min),PTE Start time,Prognosis [MW] (DA),Prognosis [MW] (ID),Realised [MW]
74,8/9/2020,999999999999999000,CONN A1,MP A,75,18:30,-1,0,-2.165
75,8/9/2020,999999999999999000,CONN A1,MP A,76,18:45,-10,-9,-8.165
76,8/9/2020,999999999999999000,CONN A1,MP A,77,19:00,-9,-9,-21.39
77,8/9/2020,999999999999999000,CONN A1,MP A,78,19:15,-3,-4,-27.39
78,8/9/2020,999999999999999000,CONN A1,MP A,79,19:30,6,7,-25.39
79,8/9/2020,999999999999999000,CONN A1,MP A,80,19:45,1,0,-4.39
80,8/9/2020,999999999999999000,CONN A1,MP A,81,20:00,-2,-2,-4.6
81,8/9/2020,999999999999999000,CONN A1,MP A,82,20:15,0,1,-29.6
82,8/9/2020,999999999999999000,CONN A1,MP A,83,20:30,-2,-3,-7.6
83,8/9/2020,999999999999999000,CONN A1,MP A,84,20:45,-9,-9,0.4
84,8/9/2020,999999999999999000,CONN A1,MP A,85,21:00,-3,-2,-15.555
85,8/9/2020,999999999999999000,CONN A1,MP A,86,21:15,-6,-7,-5.555
86,8/9/2020,999999999999999000,CONN A1,MP A,87,21:30,2,2,-13.555
87,8/9/2020,999999999999999000,CONN A1,MP A,88,21:45,-10,-11,3.445
88,8/9/2020,999999999999999000,CONN A1,MP A,89,22:00,3,4,-19.12
89,8/9/2020,999999999999999000,CONN A1,MP A,90,22:15,-9,-10,-4.12
90,8/9/2020,999999999999999000,CONN A1,MP A,91,22:30,-6,-6,-19.12
91,8/9/2020,999999999999999000,CONN A1,MP A,92,22:45,-1,-2,-7.12
92,8/9/2020,999999999999999000,CONN A1,MP A,93,23:00,3,3,-9.315
93,8/9/2020,999999999999999000,CONN A1,MP A,94,23:15,3,2,-3.315
94,8/9/2020,999999999999999000,CONN A1,MP A,95,23:30,6,5,8.685
95,8/9/2020,999999999999999000,CONN A1,MP A,96,23:45,7,7,-0.315
96,8/9/2020,999999999999999000,CONN B1,MP B,1,0:00,-4,-3,-8
97,8/9/2020,999999999999999000,CONN B1,MP B,2,0:15,2,3,15
98,8/9/2020,999999999999999000,CONN B1,MP B,3,0:30,-1,0,-4
99,8/9/2020,999999999999999000,CONN B1,MP B,4,0:45,10,11,9
100,8/9/2020,999999999999999000,CONN B1,MP B,5,1:00,-8,-8,7
101,8/9/2020,999999999999999000,CONN B1,MP B,6,1:15,10,9,-19
102,8/9/2020,999999999999999000,CONN B1,MP B,7,1:30,-1,0,-3
103,8/9/2020,999999999999999000,CONN B1,MP B,8,1:45,-1,0,-13
104,8/9/2020,999999999999999000,CONN B1,MP B,9,2:00,-9,-10,16
105,8/9/2020,999999999999999000,CONN B1,MP B,10,2:15,8,8,15
106,8/9/2020,999999999999999000,CONN B1,MP B,11,2:30,0,1,-12
107,8/9/2020,999999999999999000,CONN B1,MP B,12,2:45,-1,0,19
108,8/9/2020,999999999999999000,CONN B1,MP B,13,3:00,-7,-8,-10
109,8/9/2020,999999999999999000,CONN B1,MP B,14,3:15,-9,-9,6
110,8/9/2020,999999999999999000,CONN B1,MP B,15,3:30,1,0,-3
111,8/9/2020,999999999999999000,CONN B1,MP B,16,3:45,3,3,-13
112,8/9/2020,999999999999999000,CONN B1,MP B,17,4:00,-6,-6,15
113,8/9/2020,999999999999999000,CONN B1,MP B,18,4:15,-3,-4,-18
114,8/9/2020,999999999999999000,CONN B1,MP B,19,4:30,9,10,10
115,8/9/2020,999999999999999000,CONN B1,MP B,20,4:45,-9,-8,14
116,8/9/2020,999999999999999000,CONN B1,MP B,21,5:00,-9,-9,-17
117,8/9/2020,999999999999999000,CONN B1,MP B,22,5:15,4,4,15
118,8/9/2020,999999999999999000,CONN B1,MP B,23,5:30,10,9,19
119,8/9/2020,999999999999999000,CONN B1,MP B,24,5:45,4,5,11
120,8/9/2020,999999999999999000,CONN B1,MP B,25,6:00,8,7,10
121,8/9/2020,999999999999999000,CONN B1,MP B,26,6:15,1,1,-12
122,8/9/2020,999999999999999000,CONN B1,MP B,27,6:30,-6,-5,13
123,8/9/2020,999999999999999000,CONN B1,MP B,28,6:45,-6,-7,7
124,8/9/2020,999999999999999000,CONN B1,MP B,29,7:00,-10,-10,3
125,8/9/2020,999999999999999000,CONN B1,MP B,30,7:15,-1,-1,-19
126,8/9/2020,999999999999999000,CONN B1,MP B,31,7:30,3,4,-19
127,8/9/2020,999999999999999000,CONN B1,MP B,32,7:45,-8,-9,-8
128,8/9/2020,999999999999999000,CONN B1,MP B,33,8:00,3,3,-19
129,8/9/2020,999999999999999000,CONN B1,MP B,34,8:15,-3,-3,-17
130,8/9/2020,999999999999999000,CONN B1,MP B,35,8:30,0,1,3
131,8/9/2020,999999999999999000,CONN B1,MP B,36,8:45,-9,-8,-7
132,8/9/2020,999999999999999000,CONN B1,MP B,37,9:00,-2,-2,-1
133,8/9/2020,999999999999999000,CONN B1,MP B,38,9:15,9,8,9
134,8/9/2020,999999999999999000,CONN B1,MP B,39,9:30,-1,-1,8
135,8/9/2020,999999999999999000,CONN B1,MP B,40,9:45,1,1,20
136,8/9/2020,999999999999999000,CONN B1,MP B,41,10:00,-10,-11,-7
137,8/9/2020,999999999999999000,CONN B1,MP B,42,10:15,0,1,-14
138,8/9/2020,999999999999999000,CONN B1,MP B,43,10:30,-1,-2,16
139,8/9/2020,999999999999999000,CONN B1,MP B,44,10:45,10,9,2
140,8/9/2020,999999999999999000,CONN B1,MP B,45,11:00,-10,-9,-3
141,8/9/2020,999999999999999000,CONN B1,MP B,46,11:15,3,2,19
142,8/9/2020,999999999999999000,CONN B1,MP B,47,11:30,-2,-2,11
143,8/9/2020,999999999999999000,CONN B1,MP B,48,11:45,6,6,6
144,8/9/2020,999999999999999000,CONN B1,MP B,49,12:00,6,5,-7
145,8/9/2020,999999999999999000,CONN B1,MP B,50,12:15,1,0,16
146,8/9/2020,999999999999999000,CONN B1,MP B,51,12:30,7,8,-13
147,8/9/2020,999999999999999000,CONN B1,MP B,52,12:45,8,9,12
148,8/9/2020,999999999999999000,CONN B1,MP B,53,13:00,10,10,2
149,8/9/2020,999999999999999000,CONN B1,MP B,54,13:15,0,-1,-14
150,8/9/2020,999999999999999000,CONN B1,MP B,55,13:30,1,1,18
151,8/9/2020,999999999999999000,CONN B1,MP B,56,13:45,9,10,-4
152,8/9/2020,999999999999999000,CONN B1,MP B,57,14:00,3,2,18
153,8/9/2020,999999999999999000,CONN B1,MP B,58,14:15,8,7,20
154,8/9/2020,999999999999999000,CONN B1,MP B,59,14:30,3,3,9
155,8/9/2020,999999999999999000,CONN B1,MP B,60,14:45,5,4,15
156,8/9/2020,999999999999999000,CONN B1,MP B,61,15:00,7,8,11
157,8/9/2020,999999999999999000,CONN B1,MP B,62,15:15,-9,-10,-13
158,8/9/2020,999999999999999000,CONN B1,MP B,63,15:30,-2,-3,-3
159,8/9/2020,999999999999999000,CONN B1,MP B,64,15:45,6,6,-7
160,8/9/2020,999999999999999000,CONN B1,MP B,65,16:00,-7,-6,13
161,8/9/2020,999999999999999000,CONN B1,MP B,66,16:15,-9,-10,-10
162,8/9/2020,999999999999999000,CONN B1,MP B,67,16:30,10,11,6
163,8/9/2020,999999999999999000,CONN B1,MP B,68,16:45,-3,-2,-8
164,8/9/2020,999999999999999000,CONN B1,MP B,69,17:00,-6,-7,0
165,8/9/2020,999999999999999000,CONN B1,MP B,70,17:15,-7,-6,18
166,8/9/2020,999999999999999000,CONN B1,MP B,71,17:30,-7,-8,6
167,8/9/2020,999999999999999000,CONN B1,MP B,72,17:45,1,0,4
168,8/9/2020,999999999999999000,CONN B1,MP B,73,18:00,4,3,-20
169,8/9/2020,999999999999999000,CONN B1,MP B,74,18:15,-10,-10,5
170,8/9/2020,999999999999999000,CONN B1,MP B,75,18:30,2,3,-19
171,8/9/2020,999999999999999000,CONN B1,MP B,76,18:45,3,2,2
172,8/9/2020,999999999999999000,CONN B1,MP B,77,19:00,5,5,3
173,8/9/2020,999999999999999000,CONN B1,MP B,78,19:15,-3,-4,-4
174,8/9/2020,999999999999999000,CONN B1,MP B,79,19:30,10,9,-15
175,8/9/2020,999999999999999000,CONN B1,MP B,80,19:45,-4,-4,5
176,8/9/2020,999999999999999000,CONN B1,MP B,81,20:00,8,8,5
177,8/9/2020,999999999999999000,CONN B1,MP B,82,20:15,8,9,18
178,8/9/2020,999999999999999000,CONN B1,MP B,83,20:30,-10,-10,9
179,8/9/2020,999999999999999000,CONN B1,MP B,84,20:45,2,2,-1
180,8/9/2020,999999999999999000,CONN B1,MP B,85,21:00,-9,-10,8
181,8/9/2020,999999999999999000,CONN B1,MP B,86,21:15,2,2,5
182,8/9/2020,999999999999999000,CONN B1,MP B,87,21:30,-7,-6,10
183,8/9/2020,999999999999999000,CONN B1,MP B,88,21:45,-8,-9,-3
184,8/9/2020,999999999999999000,CONN B1,MP B,89,22:00,0,-1,7
185,8/9/2020,999999999999999000,CONN B1,MP B,90,22:15,5,5,-6
186,8/9/2020,999999999999999000,CONN B1,MP B,91,22:30,-6,-7,6
187,8/9/2020,999999999999999000,CONN B1,MP B,92,22:45,-5,-4,9
188,8/9/2020,999999999999999000,CONN B1,MP B,93,23:00,10,11,3
189,8/9/2020,999999999999999000,CONN B1,MP B,94,23:15,-9,-8,17
190,8/9/2020,999999999999999000,CONN B1,MP B,95,23:30,-3,-2,4
191,8/9/2020,999999999999999000,CONN B1,MP B,96,23:45,-1,-2,-6
192,8/9/2020,999999999999999000,CONN B2,MP B,1,0:00,5,4,-16
193,8/9/2020,999999999999999000,CONN B2,MP B,2,0:15,2,1,12
194,8/9/2020,999999999999999000,CONN B2,MP B,3,0:30,-9,-10,5
195,8/9/2020,999999999999999000,CONN B2,MP B,4,0:45,-1,-1,-18
196,8/9/2020,999999999999999000,CONN B2,MP B,5,1:00,0,0,18
197,8/9/2020,999999999999999000,CONN B2,MP B,6,1:15,-9,-8,6
198,8/9/2020,999999999999999000,CONN B2,MP B,7,1:30,-2,-3,-20
199,8/9/2020,999999999999999000,CONN B2,MP B,8,1:45,5,4,16
200,8/9/2020,999999999999999000,CONN B2,MP B,9,2:00,-4,-5,17
201,8/9/2020,999999999999999000,CONN B2,MP B,10,2:15,-7,-7,-13
202,8/9/2020,999999999999999000,CONN B2,MP B,11,2:30,-1,-1,-18
203,8/9/2020,999999999999999000,CONN B2,MP B,12,2:45,-1,-1,8
204,8/9/2020,999999999999999000,CONN B2,MP B,13,3:00,-1,-2,13
205,8/9/2020,999999999999999000,CONN B2,MP B,14,3:15,-2,-2,1
206,8/9/2020,999999999999999000,CONN B2,MP B,15,3:30,9,9,2
207,8/9/2020,999999999999999000,CONN B2,MP B,16,3:45,-4,-3,-7
208,8/9/2020,999999999999999000,CONN B2,MP B,17,4:00,-2,-2,4
209,8/9/2020,999999999999999000,CONN B2,MP B,18,4:15,-2,-1,-8
210,8/9/2020,999999999999999000,CONN B2,MP B,19,4:30,1,1,17
211,8/9/2020,999999999999999000,CONN B2,MP B,20,4:45,-7,-8,-16
212,8/9/2020,999999999999999000,CONN B2,MP B,21,5:00,-10,-9,-11
213,8/9/2020,999999999999999000,CONN B2,MP B,22,5:15,-7,-8,-15
214,8/9/2020,999999999999999000,CONN B2,MP B,23,5:30,1,0,18
215,8/9/2020,999999999999999000,CONN B2,MP B,24,5:45,5,6,6
216,8/9/2020,999999999999999000,CONN B2,MP B,25,6:00,-4,-4,18
217,8/9/2020,999999999999999000,CONN B2,MP B,26,6:15,6,7,-6
218,8/9/2020,999999999999999000,CONN B2,MP B,27,6:30,3,3,19
219,8/9/2020,999999999999999000,CONN B2,MP B,28,6:45,9,8,4
220,8/9/2020,999999999999999000,CONN B2,MP B,29,7:00,10,9,14
221,8/9/2020,999999999999999000,CONN B2,MP B,30,7:15,4,5,-20
222,8/9/2020,999999999999999000,CONN B2,MP B,31,7:30,-6,-5,-9
223,8/9/2020,999999999999999000,CONN B2,MP B,32,7:45,9,9,0
224,8/9/2020,999999999999999000,CONN B2,MP B,33,8:00,-3,-3,-14
225,8/9/2020,999999999999999000,CONN B2,MP B,34,8:15,3,2,-13
226,8/9/2020,999999999999999000,CONN B2,MP B,35,8:30,-7,-8,-15
227,8/9/2020,999999999999999000,CONN B2,MP B,36,8:45,7,8,-15
228,8/9/2020,999999999999999000,CONN B2,MP B,37,9:00,5,6,12
229,8/9/2020,999999999999999000,CONN B2,MP B,38,9:15,-2,-2,15
230,8/9/2020,999999999999999000,CONN B2,MP B,39,9:30,-9,-8,-10
231,8/9/2020,999999999999999000,CONN B2,MP B,40,9:45,-4,-3,-15
232,8/9/2020,999999999999999000,CONN B2,MP B,41,10:00,1,1,4
233,8/9/2020,999999999999999000,CONN B2,MP B,42,10:15,4,5,-9
234,8/9/2020,999999999999999000,CONN B2,MP B,43,10:30,8,8,3
235,8/9/2020,999999999999999000,CONN B2,MP B,44,10:45,9,10,6
236,8/9/2020,999999999999999000,CONN B2,MP B,45,11:00,4,5,1
237,8/9/2020,999999999999999000,CONN B2,MP B,46,11:15,-7,-6,-8
238,8/9/2020,999999999999999000,CONN B2,MP B,47,11:30,-6,-7,2
239,8/9/2020,999999999999999000,CONN B2,MP B,48,11:45,-10,-9,4
240,8/9/2020,999999999999999000,CONN B2,MP B,49,12:00,2,1,-1
241,8/9/2020,999999999999999000,CONN B2,MP B,50,12:15,7,7,-7
242,8/9/2020,999999999999999000,CONN B2,MP B,51,12:30,-3,-3,-19
243,8/9/2020,999999999999999000,CONN B2,MP B,52,12:45,4,4,-2
244,8/9/2020,999999999999999000,CONN B2,MP B,53,13:00,4,4,0
245,8/9/2020,999999999999999000,CONN B2,MP B,54,13:15,-5,-5,6
246,8/9/2020,999999999999999000,CONN B2,MP B,55,13:30,-2,-1,8
247,8/9/2020,999999999999999000,CONN B2,MP B,56,13:45,-9,-8,-7
248,8/9/2020,999999999999999000,CONN B2,MP B,57,14:00,4,5,6
249,8/9/2020,999999999999999000,CONN B2,MP B,58,14:15,7,7,13
250,8/9/2020,999999999999999000,CONN B2,MP B,59,14:30,-5,-4,-6
251,8/9/2020,999999999999999000,CONN B2,MP B,60,14:45,-1,-1,-1
252,8/9/2020,999999999999999000,CONN B2,MP B,61,15:00,-3,-3,12
253,8/9/2020,999999999999999000,CONN B2,MP B,62,15:15,10,11,-16
254,8/9/2020,999999999999999000,CONN B2,MP B,63,15:30,-2,-2,13
255,8/9/2020,999999999999999000,CONN B2,MP B,64,15:45,1,2,10
256,8/9/2020,999999999999999000,CONN B2,MP B,65,16:00,-1,0,5
257,8/9/2020,999999999999999000,CONN B2,MP B,66,16:15,1,0,10
258,8/9/2020,999999999999999000,CONN B2,MP B,67,16:30,2,3,20
259,8/9/2020,999999999999999000,CONN B2,MP B,68,16:45,-4,-5,6
260,8/9/2020,999999999999999000,CONN B2,MP B,69,17:00,-7,-8,-10
261,8/9/2020,999999999999999000,CONN B2,MP B,70,17:15,8,9,14
262,8/9/2020,999999999999999000,CONN B2,MP B,71,17:30,-1,-1,4
263,8/9/2020,999999999999999000,CONN B2,MP B,72,17:45,-4,-4,-9
264,8/9/2020,999999999999999000,CONN B2,MP B,73,18:00,-7,-6,6
265,8/9/2020,999999999999999000,CONN B2,MP B,74,18:15,1,1,-18
266,8/9/2020,999999999999999000,CONN B2,MP B,75,18:30,9,10,13
267,8/9/2020,999999999999999000,CONN B2,MP B,76,18:45,-1,-1,-11
268,8/9/2020,999999999999999000,CONN B2,MP B,77,19:00,-5,-5,-9
269,8/9/2020,999999999999999000,CONN B2,MP B,78,19:15,-2,-1,7
270,8/9/2020,999999999999999000,CONN B2,MP B,79,19:30,8,9,-4
271,8/9/2020,999999999999999000,CONN B2,MP B,80,19:45,-10,-11,-13
272,8/9/2020,999999999999999000,CONN B2,MP B,81,20:00,-8,-7,-20
273,8/9/2020,999999999999999000,CONN B2,MP B,82,20:15,6,6,1
274,8/9/2020,999999999999999000,CONN B2,MP B,83,20:30,8,7,-6
275,8/9/2020,999999999999999000,CONN B2,MP B,84,20:45,9,8,-13
276,8/9/2020,999999999999999000,CONN B2,MP B,85,21:00,-8,-7,-18
277,8/9/2020,999999999999999000,CONN B2,MP B,86,21:15,7,6,19
278,8/9/2020,999999999999999000,CONN B2,MP B,87,21:30,8,8,-4
279,8/9/2020,999999999999999000,CONN B2,MP B,88,21:45,2,3,17
280,8/9/2020,999999999999999000,CONN B2,MP B,89,22:00,7,6,16
281,8/9/2020,999999999999999000,CONN B2,MP B,90,22:15,8,9,-15
282,8/9/2020,999999999999999000,CONN B2,MP B,91,22:30,2,3,-17
283,8/9/2020,999999999999999000,CONN B2,MP B,92,22:45,-3,-3,19
284,8/9/2020,999999999999999000,CONN B2,MP B,93,23:00,-9,-9,16
285,8/9/2020,999999999999999000,CONN B2,MP B,94,23:15,-4,-3,-13
286,8/9/2020,999999999999999000,CONN B2,MP B,95,23:30,-1,-2,-5
287,8/9/2020,999999999999999000,CONN B2,MP B,96,23:45,-9,-8,-12
288,8/9/2020,999999999999999000,CONN B3,MP B,1,0:00,-3,-2,0
289,8/9/2020,999999999999999000,CONN B3,MP B,2,0:15,6,5,-12
290,8/9/2020,999999999999999000,CONN B3,MP B,3,0:30,2,2,-6
291,8/9/2020,999999999999999000,CONN B3,MP B,4,0:45,2,1,-19
292,8/9/2020,999999999999999000,CONN B3,MP B,5,1:00,-5,-6,5
293,8/9/2020,999999999999999000,CONN B3,MP B,6,1:15,-4,-4,16
294,8/9/2020,999999999999999000,CONN B3,MP B,7,1:30,-8,-9,-18
295,8/9/2020,999999999999999000,CONN B3,MP B,8,1:45,3,4,14
296,8/9/2020,999999999999999000,CONN B3,MP B,9,2:00,5,5,-3
297,8/9/2020,999999999999999000,CONN B3,MP B,10,2:15,-2,-3,-1
298,8/9/2020,999999999999999000,CONN B3,MP B,11,2:30,-7,-6,12
299,8/9/2020,999999999999999000,CONN B3,MP B,12,2:45,2,3,-10
300,8/9/2020,999999999999999000,CONN B3,MP B,13,3:00,4,4,-17
301,8/9/2020,999999999999999000,CONN B3,MP B,14,3:15,-6,-7,2
302,8/9/2020,999999999999999000,CONN B3,MP B,15,3:30,3,4,13
303,8/9/2020,999999999999999000,CONN B3,MP B,16,3:45,-4,-5,-5
304,8/9/2020,999999999999999000,CONN B3,MP B,17,4:00,6,7,-2
305,8/9/2020,999999999999999000,CONN B3,MP B,18,4:15,6,7,15
306,8/9/2020,999999999999999000,CONN B3,MP B,19,4:30,-3,-4,2
307,8/9/2020,999999999999999000,CONN B3,MP B,20,4:45,-8,-7,-12
308,8/9/2020,999999999999999000,CONN B3,MP B,21,5:00,3,4,7
309,8/9/2020,999999999999999000,CONN B3,MP B,22,5:15,-1,-2,1
310,8/9/2020,999999999999999000,CONN B3,MP B,23,5:30,0,0,18
311,8/9/2020,999999999999999000,CONN B3,MP B,24,5:45,3,4,10
312,8/9/2020,999999999999999000,CONN B3,MP B,25,6:00,-2,-3,-16
313,8/9/2020,999999999999999000,CONN B3,MP B,26,6:15,3,4,1
314,8/9/2020,999999999999999000,CONN B3,MP B,27,6:30,-6,-6,17
315,8/9/2020,999999999999999000,CONN B3,MP B,28,6:45,6,7,-1
316,8/9/2020,999999999999999000,CONN B3,MP B,29,7:00,-3,-2,18
317,8/9/2020,999999999999999000,CONN B3,MP B,30,7:15,-8,-7,13
318,8/9/2020,999999999999999000,CONN B3,MP B,31,7:30,3,4,5
319,8/9/2020,999999999999999000,CONN B3,MP B,32,7:45,-4,-3,5
320,8/9/2020,999999999999999000,CONN B3,MP B,33,8:00,-10,-11,3
321,8/9/2020,999999999999999000,CONN B3,MP B,34,8:15,5,4,-11
322,8/9/2020,999999999999999000,CONN B3,MP B,35,8:30,-6,-5,-17
323,8/9/2020,999999999999999000,CONN B3,MP B,36,8:45,0,-1,-20
324,8/9/2020,999999999999999000,CONN B3,MP B,37,9:00,-8,-7,3
325,8/9/2020,999999999999999000,CONN B3,MP B,38,9:15,-3,-4,19
326,8/9/2020,999999999999999000,CONN B3,MP B,39,9:30,-7,-6,-6
327,8/9/2020,999999999999999000,CONN B3,MP B,40,9:45,1,2,-8
328,8/9/2020,999999999999999000,CONN B3,MP B,41,10:00,-3,-2,-19
329,8/9/2020,999999999999999000,CONN B3,MP B,42,10:15,-7,-7,-6
330,8/9/2020,999999999999999000,CONN B3,MP B,43,10:30,-6,-6,8
331,8/9/2020,999999999999999000,CONN B3,MP B,44,10:45,9,10,-1
332,8/9/2020,999999999999999000,CONN B3,MP B,45,11:00,2,3,-15
333,8/9/2020,999999999999999000,CONN B3,MP B,46,11:15,0,1,-17
334,8/9/2020,999999999999999000,CONN B3,MP B,47,11:30,-5,-6,-10
335,8/9/2020,999999999999999000,CONN B3,MP B,48,11:45,-4,-3,19
336,8/9/2020,999999999999999000,CONN B3,MP B,49,12:00,-9,-8,-19
337,8/9/2020,999999999999999000,CONN B3,MP B,50,12:15,5,5,8
338,8/9/2020,999999999999999000,CONN B3,MP B,51,12:30,-3,-3,-9
339,8/9/2020,999999999999999000,CONN B3,MP B,52,12:45,10,10,-17
340,8/9/2020,999999999999999000,CONN B3,MP B,53,13:00,-4,-3,18
341,8/9/2020,999999999999999000,CONN B3,MP B,54,13:15,-10,-11,-11
342,8/9/2020,999999999999999000,CONN B3,MP B,55,13:30,10,11,-7
343,8/9/2020,999999999999999000,CONN B3,MP B,56,13:45,-8,-7,3
344,8/9/2020,999999999999999000,CONN B3,MP B,57,14:00,-9,-8,-16
